Number of channels received = 240
Channel                  Rate  chan_type
LVE-BX:X11_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X11_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X11_BT_TEMP_C                        16      raw    real_4
LVE-BX:X12_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X12_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X12_BT_TEMP_C                        16      raw    real_4
LVE-BX:X13_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X13_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X13_BT_TEMP_C                        16      raw    real_4
LVE-BX:X14_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X14_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X14_BT_TEMP_C                        16      raw    real_4
LVE-BX:X15_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X15_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X15_BT_TEMP_C                        16      raw    real_4
LVE-BX:X16_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X16_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X16_BT_TEMP_C                        16      raw    real_4
LVE-BX:X17_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X17_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X17_BT_TEMP_C                        16      raw    real_4
LVE-BX:X21_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X21_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X21_BT_TEMP_C                        16      raw    real_4
LVE-BX:X22_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X22_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X22_BT_TEMP_C                        16      raw    real_4
LVE-BX:X23_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X23_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X23_BT_TEMP_C                        16      raw    real_4
LVE-BX:X24_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X24_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X24_BT_TEMP_C                        16      raw    real_4
LVE-BX:X25_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X25_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X25_BT_TEMP_C                        16      raw    real_4
LVE-BX:X26_949BTORR                         16      raw    real_4
LVE-BX:X26_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X26_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X26_BT_TEMP_C                        16      raw    real_4
LVE-BX:X27_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BX:X27_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BX:X27_BT_TEMP_C                        16      raw    real_4
LVE-BX:X27_X4_952TORR                       16      raw    real_4
LVE-BX:XMID_BT_TEMP_C                       16      raw    real_4
LVE-BX:Y27_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y11_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y11_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y11_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y12_958BTORR                         16      raw    real_4
LVE-BY:Y12_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y12_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y12_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y13_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y13_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y13_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y14_964BTORR                         16      raw    real_4
LVE-BY:Y14_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y14_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y14_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y15_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y15_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y15_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y16_970BTORR                         16      raw    real_4
LVE-BY:Y16_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y16_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y16_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y17_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y17_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y17_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y21_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y21_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y21_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y22_978BTORR                         16      raw    real_4
LVE-BY:Y22_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y22_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y22_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y23_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y23_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y23_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y24_984BTORR                         16      raw    real_4
LVE-BY:Y24_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y24_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y24_AIR_DWPT_C                       16      raw    real_4
LVE-BY:Y24_AIR_TEMP_C                       16      raw    real_4
LVE-BY:Y24_BT_MARGIN_C                      16      raw    real_4
LVE-BY:Y24_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y25_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y25_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y25_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y26_990BTORR                         16      raw    real_4
LVE-BY:Y26_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y26_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y26_AIR_DWPT_CALC                    16      raw    real_4
LVE-BY:Y26_AIR_RH_PCT                       16      raw    real_4
LVE-BY:Y26_AIR_TEMP_C                       16      raw    real_4
LVE-BY:Y26_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y27_993BTORR                         16      raw    real_4
LVE-BY:Y27_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y27_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y27_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y27_Y4_994TORR                       16      raw    real_4
LVE-BY:YMID_BT_TEMP_C                       16      raw    real_4
LVE-EX:75IPBSC4_AIPTORR                     16      raw    real_4
LVE-EX:CP4_LIC800                           16      raw    real_4
LVE-EX:CP4_LT800                            16      raw    real_4
LVE-EX:CP4_LT805                            16      raw    real_4
LVE-EX:CP4_LVLSIG                           16      raw    real_4
LVE-EX:ETMX_OP_LEV_TEMP                     16      raw    real_4
LVE-EX:GV11_AIPTORR                         16      raw    real_4
LVE-EX:GV12_AIPTORR                         16      raw    real_4
LVE-EX:INSTAIR_PT899                        16      raw    real_4
LVE-EX:IP6_EI822A                           16      raw    real_4
LVE-EX:IP6_EI822B                           16      raw    real_4
LVE-EX:IP6_ST822A                           16      raw    real_4
LVE-EX:IP6_ST822B                           16      raw    real_4
LVE-EX:IP6_VI822A                           16      raw    real_4
LVE-EX:IP6_VI822B                           16      raw    real_4
LVE-EX:IP8_827AMP                           16      raw    real_4
LVE-EX:IP8_EI827                            16      raw    real_4
LVE-EX:IP8_VI827                            16      raw    real_4
LVE-EX:X1_823ATORR                          16      raw    real_4
LVE-EX:X1_823BTORR                          16      raw    real_4
LVE-EX:X2_824ATORR                          16      raw    real_4
LVE-EX:X2_824BTORR                          16      raw    real_4
LVE-EX:X3_810ATORR                          16      raw    real_4
LVE-EX:X3_810BTORR                          16      raw    real_4
LVE-EX:XEND_VEA_ROOM_TEMP                   16      raw    real_4
LVE-EY:75IPBSC5_AIPTORR                     16      raw    real_4
